val_loss,val_acc,loss,acc
14.74769211,0.0078125,3.578454341,0.100259853
11.27806187,0.0078125,2.199986651,0.340190559
9.845257282,0.0234375,1.333807721,0.581853616
9.925202608,0.0390625,0.831806809,0.742096145
10.67624378,0.0546875,0.557511882,0.82438285
10.35802221,0.0390625,0.392906501,0.884148982
9.302489042,0.0703125,0.349817362,0.89822434
10.16723537,0.078125,0.253593737,0.921982759
14.00110197,0.03125,0.228434174,0.928633594
8.984226942,0.1640625,0.208087826,0.938068428
11.96757603,0.046875,0.147667355,0.95625812
9.357613564,0.1484375,0.154738745,0.951927241
10.37714982,0.09375,0.146415511,0.954958857
8.012068748,0.125,0.105317934,0.968168038
10.04612398,0.0546875,0.107810464,0.967025862
13.21366143,0.03125,0.197318766,0.941035683
9.301083088,0.1796875,0.078807918,0.976613252
12.07209754,0.0546875,0.086520729,0.975097445
10.47804093,0.078125,0.083781181,0.976829796
11.5017786,0.046875,0.122752488,0.962537895
10.79636335,0.09375,0.120843542,0.961022087
11.41923046,0.0390625,0.060872231,0.982243395
12.63012433,0.046875,0.078962333,0.976613252
10.96645021,0.078125,0.062309004,0.982543103
10.4128561,0.109375,0.147642491,0.954092681
9.254110098,0.140625,0.122189034,0.959530026
9.99793911,0.1171875,0.028932024,0.992204417
10.70679641,0.0625,0.045729491,0.985491555
11.30644917,0.0390625,0.076477632,0.976613253
9.663479328,0.1328125,0.131416393,0.958189655
8.926515102,0.1875,0.06873564,0.97867711
10.27796054,0.1171875,0.073459307,0.976396709
10.20390582,0.1875,0.037630971,0.989172802
13.32932878,0.046875,0.101109761,0.96881767
12.56017566,0.0390625,0.041229068,0.986574275
11.75685287,0.046875,0.062117303,0.982026851
9.138862848,0.1328125,0.040187631,0.988362069
10.42835093,0.1328125,0.022500911,0.993720225
8.850523949,0.140625,0.028514567,0.992420961
10.94208908,0.109375,0.018719607,0.994802945
10.81486058,0.1171875,0.08623411,0.975097445
11.96188211,0.0546875,0.136473574,0.961705831
10.64491177,0.1484375,0.033613052,0.988362069
10.98435092,0.1171875,0.064760017,0.980200174
11.39957285,0.0859375,0.027061221,0.991594828
12.95198655,0.03125,0.02643291,0.991121698
9.913896084,0.1171875,0.022410817,0.992637505
10.65760136,0.109375,0.036426443,0.987223906
14.80230045,0.0234375,0.104447709,0.967362924
15.47286415,0.0078125,0.159271971,0.962970983
11.41015196,0.1015625,0.083635961,0.97112069
8.501570225,0.1875,0.027879063,0.993070593
9.172378302,0.140625,0.011890344,0.996953873
9.796627998,0.109375,0.031766506,0.98987069
11.01817441,0.109375,0.031546361,0.991121698
8.324558854,0.1796875,0.016572514,0.994342907
9.568284035,0.1171875,0.014159376,0.995474138
10.1700356,0.140625,0.010035761,0.997171453
9.998061657,0.109375,0.026317175,0.990905154
13.50627947,0.0390625,0.087017713,0.973365093
10.62935901,0.140625,0.050208328,0.983836207
8.462106228,0.15625,0.095433179,0.972282373
8.931783676,0.1640625,0.015101544,0.994778068
11.13486958,0.1015625,0.005630078,0.998491379
13.11009145,0.0625,0.02306401,0.993037424
9.642361164,0.1015625,0.065090634,0.980511044
9.92525363,0.125,0.023602378,0.992420961
12.72760558,0.0859375,0.010109506,0.996336207
11.82484293,0.1171875,0.019459272,0.994342907
12.0730834,0.1171875,0.019990006,0.992637505
10.20165181,0.171875,0.042147855,0.987931034
9.81932044,0.2265625,0.035433581,0.988033072
10.51925445,0.140625,0.024109921,0.992241379
12.36932516,0.0625,0.031835959,0.990644038
9.662340641,0.1796875,0.009260427,0.997401472
10.69784737,0.15625,0.020521595,0.995043103
13.09126949,0.0625,0.035482722,0.989338555
10.56825304,0.1484375,0.020175109,0.994612069
12.13518643,0.078125,0.017742013,0.994586401
11.09320021,0.1015625,0.030430122,0.991554786
9.259968996,0.1484375,0.017891484,0.993255004
10.54075503,0.140625,0.036822999,0.990517241
13.20007181,0.0390625,0.087990311,0.973020017
10.41097546,0.15625,0.022121966,0.991810345
10.97774315,0.09375,0.009730406,0.996953873
8.833304882,0.171875,0.004834041,0.998922414
9.070792675,0.1875,0.00103183,1
11.50131702,0.0703125,0.00376242,0.998912097
10.50322676,0.15625,0.007380052,0.998275862
10.96891165,0.125,0.016468311,0.993936769
12.21183825,0.0625,0.068903246,0.980511044
9.363358736,0.1484375,0.041869692,0.987873538
11.04122782,0.1171875,0.052401692,0.984408835
9.69644022,0.1484375,0.034293256,0.988250653
10.13522887,0.1171875,0.025936332,0.99177133
10.00781822,0.140625,0.007045309,0.997198276
9.378862381,0.15625,0.038519216,0.989822434
9.388549089,0.171875,0.020069517,0.993037424
8.893501282,0.171875,0.007718541,0.998060345
8.315855384,0.0703125,0.057438527,0.986510009
